Preference Index 0 - No Decomposer,Preference Index 0 - Decomposer,Preference Index 1 - No Decomposer,Preference Index 1 - Decomposer,Preference Index 2 - No Decomposer,Preference Index 2 - Decomposer,Preference Index 3 - No Decomposer,Preference Index 3 - Decomposer,Preference Index 4 - No Decomposer,Preference Index 4 - Decomposer,Preference Index 5 - No Decomposer,Preference Index 5 - Decomposer,Preference Index 6 - No Decomposer,Preference Index 6 - Decomposer,Preference Index 7 - No Decomposer,Preference Index 7 - Decomposer,Preference Index 8 - No Decomposer,Preference Index 8 - Decomposer,Preference Index 9 - No Decomposer,Preference Index 9 - Decomposer,Preference Index 10 - No Decomposer,Preference Index 10 - Decomposer,Preference Index 11 - No Decomposer,Preference Index 11 - Decomposer,Preference Index 12 - No Decomposer,Preference Index 12 - Decomposer,Preference Index 13 - No Decomposer,Preference Index 13 - Decomposer,Preference Index 14 - No Decomposer,Preference Index 14 - Decomposer,Preference Index 15 - No Decomposer,Preference Index 15 - Decomposer,Preference Index 16 - No Decomposer,Preference Index 16 - Decomposer,Preference Index 17 - No Decomposer,Preference Index 17 - Decomposer,Preference Index 18 - No Decomposer,Preference Index 18 - Decomposer,Preference Index 19 - No Decomposer,Preference Index 19 - Decomposer
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['chicken', 7.5, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 4.0, 7.5, 85.0]","['chicken', 1.0, 7.5, 85.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['carrots', 5.0, 8.5, 90.0]","['carrots', 5.0, 10.0, 90.0]","['rice', 4.0, 7.5, 95.0]","['chicken', 3.0, 7.5, 95.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 3.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 100.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 6.0, 95.0]","['chicken', 8.0, 7.5, 90.0]","['chicken', 10.0, 8.5, 90.0]","['rice', 5.0, 7.5, 95.0]","['rice', 5.0, 7.5, 95.0]","['potatoes', 3.0, 7.5, 90.0]","['cabbage', 2.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['rice', 7.5, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 97.5]","['peas', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['chicken', 4.0, 7.5, 85.0]","['chicken', 1.0, 7.5, 85.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 10.0, 90.0]","['rice', 4.5, 7.5, 96.0]","['rice', 3.0, 7.5, 95.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 3.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 100.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 3.0, 6.0, 95.0]","['chicken', 8.0, 7.5, 90.0]","['chicken', 10.0, 8.5, 90.0]","['chicken', 5.0, 7.5, 95.0]","['chicken', 5.0, 7.5, 98.0]","['cabbage', 3.0, 7.5, 90.0]","['cabbage', 2.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.0, 90.0]","['chicken', 5.0, 5.0, 90.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['chicken', 7.5, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 100.0]","['spinach', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 4.0, 7.5, 85.0]","['chicken', 1.0, 7.5, 85.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.0, 90.0]","['carrots', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]","['chicken', 4.0, 7.5, 96.0]","['chicken', 3.0, 7.5, 97.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 3.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 100.0]","['spinach', 5.0, 7.5, 90.0]","['rice', 3.0, 6.0, 95.0]","['chicken', 8.0, 7.5, 90.0]","['chicken', 10.0, 8.5, 90.0]","['spinach', 5.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 100.0]","['cabbage', 3.0, 7.5, 90.0]","['potatoes', 2.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 5.0, 90.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['rice', 7.5, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 102.5]","['peas', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['chicken', 4.0, 7.5, 85.0]","['chicken', 1.0, 7.5, 85.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.0, 90.0]","['carrots', 5.0, 10.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 4.0, 7.5, 96.0]","['rice', 3.0, 7.5, 98.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 3.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 105.0]","['spinach', 5.0, 7.5, 90.0]","['beef', 3.0, 6.0, 95.0]","['chicken', 8.0, 7.5, 90.0]","['chicken', 10.0, 8.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 102.0]","['cabbage', 3.0, 7.5, 90.0]","['potatoes', 2.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['peas', 8.0, 10.0, 90.0]","['chicken', 7.5, 10.0, 90.0]",,"['potatoes', 8.0, 7.5, 105.0]","['beef', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['rice', 4.0, 7.5, 85.0]","['rice', 1.0, 7.5, 85.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.0, 90.0]","['chicken', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]","['chicken', 4.0, 7.5, 96.0]","['chicken', 3.0, 7.5, 99.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 10.0, 7.5, 90.0]","['peas', 8.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 3.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 105.0]","['beef', 5.0, 7.5, 90.0]","['rice', 3.0, 6.0, 95.0]","['rice', 5.0, 7.5, 90.0]","['rice', 3.0, 8.5, 90.0]","['rice', 5.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 103.0]","['potatoes', 3.0, 7.5, 90.0]","['cabbage', 2.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['rice', 7.5, 10.0, 90.0]",I only want meat. Tilt the spoon slightly when feeding me. Feed me with larger bites,,"['peas', 5.0, 7.5, 90.0]","['beef', 1.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 4.0, 7.5, 90.0]","['rice', 1.0, 7.5, 85.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.0, 90.0]","['chicken', 5.0, 8.5, 90.0]","['rice', 5.0, 10.0, 90.0]","['chicken', 4.0, 7.5, 96.0]","['rice', 3.0, 7.5, 99.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 10.0, 7.5, 90.0]","['peas', 8.0, 7.0, 95.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 3.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 110.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 3.5, 6.0, 95.0]","['rice', 5.0, 7.5, 90.0]","['rice', 4.0, 8.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 104.0]","['cabbage', 3.0, 7.5, 90.0]","['cabbage', 2.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['chicken', 7.5, 10.0, 90.0]",,,"['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['rice', 4.0, 7.5, 85.0]","['rice', 1.0, 7.5, 85.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 10.0, 90.0]","['rice', 4.0, 7.5, 96.0]","['chicken', 3.0, 7.5, 100.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 10.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 3.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 115.0]","['beef', 5.0, 7.5, 90.0]","['beef', 3.0, 6.0, 95.0]","['rice', 5.0, 7.5, 90.0]","['rice', 4.5, 8.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 104.5]","['potatoes', 3.0, 7.5, 90.0]","['potatoes', 2.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]"
"['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['rice', 7.5, 10.0, 90.0]",,,"['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 4.0, 7.5, 85.0]","['rice', 1.0, 7.5, 85.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['rice', 5.0, 7.0, 90.0]","['chicken', 5.0, 8.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['chicken', 4.0, 7.5, 96.0]","['rice', 3.0, 7.5, 100.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 10.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 3.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 112.0]","['rice', 5.0, 7.5, 90.0]","['rice', 3.0, 6.0, 95.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 8.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 105.0]","['potatoes', 3.0, 7.5, 90.0]","['potatoes', 2.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.0, 90.0]","['chicken', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['peas', 7.5, 10.0, 90.0]",,,"['peas', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['peas', 4.0, 7.5, 90.0]","['peas', 5.0, 7.5, 85.0]","['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.0, 90.0]","['rice', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]","['peas', 4.0, 7.5, 96.0]","['peas', 3.0, 7.5, 101.0]","['spinach', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['corn', 5.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['carrots', 3.0, 10.0, 90.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 115.0]","['rice', 5.0, 7.5, 90.0]","['beef', 3.0, 6.0, 95.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 8.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 105.0]",,"['beef', 2.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['peas', 5.0, 5.0, 90.0]"
"['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 8.0, 10.0, 90.0]","['peas', 7.5, 10.0, 90.0]",,,"['beef', 5.0, 7.5, 90.0]","['beef', 1.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['peas', 4.0, 7.5, 90.0]","['peas', 5.0, 7.5, 85.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['rice', 5.0, 7.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]","['peas', 4.0, 7.5, 96.0]","['peas', 3.0, 7.5, 102.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['corn', 5.0, 7.5, 90.0]","['rice', 8.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 3.0, 10.0, 90.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 115.5]","['rice', 5.0, 7.5, 90.0]","['rice', 3.5, 6.0, 95.0]","['peas', 5.0, 7.5, 90.0]","['peas', 6.0, 8.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 105.5]",I only want vegetables. Feed me in small bites..,,"['rice', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]"
