Preference Index 0 - No Decomposer,Preference Index 0 - Decomposer,Preference Index 1 - No Decomposer,Preference Index 1 - Decomposer,Preference Index 2 - No Decomposer,Preference Index 2 - Decomposer,Preference Index 3 - No Decomposer,Preference Index 3 - Decomposer,Preference Index 4 - No Decomposer,Preference Index 4 - Decomposer,Preference Index 5 - No Decomposer,Preference Index 5 - Decomposer,Preference Index 6 - No Decomposer,Preference Index 6 - Decomposer,Preference Index 7 - No Decomposer,Preference Index 7 - Decomposer,Preference Index 8 - No Decomposer,Preference Index 8 - Decomposer,Preference Index 9 - No Decomposer,Preference Index 9 - Decomposer,Preference Index 10 - No Decomposer,Preference Index 10 - Decomposer,Preference Index 11 - No Decomposer,Preference Index 11 - Decomposer,Preference Index 12 - No Decomposer,Preference Index 12 - Decomposer,Preference Index 13 - No Decomposer,Preference Index 13 - Decomposer,Preference Index 14 - No Decomposer,Preference Index 14 - Decomposer,Preference Index 15 - No Decomposer,Preference Index 15 - Decomposer,Preference Index 16 - No Decomposer,Preference Index 16 - Decomposer,Preference Index 17 - No Decomposer,Preference Index 17 - Decomposer,Preference Index 18 - No Decomposer,Preference Index 18 - Decomposer,Preference Index 19 - No Decomposer,Preference Index 19 - Decomposer
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]",,,"['beef', 8.0, 7.5, 95.0]","['beef', 5.0, 7.5, 95.0]",,,,,"['chicken', 3.5, 7.5, 85.0]","['chicken', 5.0, 7.5, 85.0]",,,,,"['carrots', 5.0, 8.5, 90.0]","['carrots', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]",,,"['beef', 8.0, 7.5, 95.0]","['beef', 7.0, 7.5, 95.0]",,,,,"['chicken', 3.5, 7.5, 85.0]","['chicken', 3.0, 7.5, 85.0]",,,,,"['carrots', 5.0, 8.5, 90.0]","['carrots', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]",,,"['beef', 8.0, 7.5, 95.0]","['beef', 7.5, 7.5, 95.0]",,,,,"['chicken', 3.5, 7.5, 85.0]","['chicken', 3.0, 7.5, 85.0]",,,,,"['carrots', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['rice', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]",,,"['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 95.0]",,,,,"['chicken', 3.5, 7.5, 85.0]","['chicken', 3.0, 7.5, 85.0]",,,,,"['carrots', 5.0, 8.5, 90.0]","['rice', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]",,,I only want meat. Tilt the spoon slightly when feeding me. Feed me with larger bites,,,,,,"['rice', 4.5, 7.5, 85.0]","['rice', 3.0, 7.5, 85.0]",,,,,"['chicken', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]",,,,,,,,,"['rice', 4.5, 7.5, 85.0]","['rice', 3.0, 7.5, 85.0]",,,,,"['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]",,,,,,,,,"['rice', 4.5, 7.5, 85.0]","['rice', 3.0, 7.5, 85.0]",,,,,"['chicken', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]",,,,,,,,,"['rice', 4.5, 7.5, 85.0]","['rice', 3.0, 7.5, 85.0]",,,,,"['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]",,,,,,,,,"['peas', 3.5, 7.5, 85.0]","['peas', 3.0, 7.5, 85.0]",,,,,"['rice', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]",,,,,,,,,"['peas', 3.5, 7.5, 90.0]","['peas', 3.0, 7.5, 85.0]",,,,,"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]",,,,,,,,,,,,,,,,,,,,,,
"Feed me all the rice first, then alternate between chicken and vegetables",,,,,,,,,,"Feed me all the chicken first, then the rice. Use smaller bites and be careful not to tilt the spoon too much.",,,,,,"I want all the vegetables first, followed by alternating bites of chicken and rice. Keep the bites medium-sized and keep the spoon far from me.",,,,,,,,,,,,,,,,,,,,,,,
