Preference Index 0 - No Decomposer,Preference Index 0 - Decomposer,Preference Index 1 - No Decomposer,Preference Index 1 - Decomposer,Preference Index 2 - No Decomposer,Preference Index 2 - Decomposer,Preference Index 3 - No Decomposer,Preference Index 3 - Decomposer,Preference Index 4 - No Decomposer,Preference Index 4 - Decomposer,Preference Index 5 - No Decomposer,Preference Index 5 - Decomposer,Preference Index 6 - No Decomposer,Preference Index 6 - Decomposer,Preference Index 7 - No Decomposer,Preference Index 7 - Decomposer,Preference Index 8 - No Decomposer,Preference Index 8 - Decomposer,Preference Index 9 - No Decomposer,Preference Index 9 - Decomposer,Preference Index 10 - No Decomposer,Preference Index 10 - Decomposer,Preference Index 11 - No Decomposer,Preference Index 11 - Decomposer,Preference Index 12 - No Decomposer,Preference Index 12 - Decomposer,Preference Index 13 - No Decomposer,Preference Index 13 - Decomposer,Preference Index 14 - No Decomposer,Preference Index 14 - Decomposer,Preference Index 15 - No Decomposer,Preference Index 15 - Decomposer,Preference Index 16 - No Decomposer,Preference Index 16 - Decomposer,Preference Index 17 - No Decomposer,Preference Index 17 - Decomposer,Preference Index 18 - No Decomposer,Preference Index 18 - Decomposer,Preference Index 19 - No Decomposer,Preference Index 19 - Decomposer
"['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['fish', 8.0, 7.5, 90.0]","['fish', 8.0, 7.5, 90.0]","['chicken', 4.0, 7.5, 90.0]","['chicken', 4.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 3.0, 7.5, 90.0]","['rice', 2.0, 7.5, 90.0]","['mashed potato', 5.0, 7.5, 90.0]","['mashed potato', 5.0, 7.5, 90.0]","['meatballs', 8.5, 7.5, 90.0]","['meatballs', 10.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['rice', 5.0, 5.0, 90.0]","['soup', 3.0, 6.0, 95.0]","['soup', 5.0, 7.5, 95.0]","['potatoes', 5.0, 7.5, 90.0]","['beef', 5.0, 10.0, 90.0]","['yogurt', 5.0, 5.0, 90.0]","['yogurt', 5.0, 6.5, 85.0]","['carrots', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 95.0]","['soup', 3.5, 5.0, 90.0]","['soup', 5.0, 5.0, 90.0]","['mashed potatoes', 5.0, 5.0, 90.0]","['mashed potatoes', 5.0, 6.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 5.0, 8.5, 90.0]","['salad', 5.0, 7.5, 95.0]","['salad', 5.0, 7.5, 85.0]","['chicken', 5.0, 7.5, 100.0]","['chicken', 5.0, 7.5, 110.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['salad', 4.0, 7.5, 90.0]","['salad', 3.0, 7.0, 95.0]","['broccoli', 5.0, 7.5, 90.0]","['broccoli', 4.5, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['broccoli', 7.0, 7.5, 90.0]","['broccoli', 6.0, 7.0, 92.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 8.5, 7.5, 90.0]","['peas', 10.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['beans', 5.0, 5.0, 90.0]","['beans', 5.0, 7.0, 90.0]","['rice', 3.0, 7.5, 90.0]","['rice', 5.0, 7.5, 95.0]","['beef', 5.0, 8.75, 90.0]","['potatoes', 5.0, 7.0, 90.0]","['fruit', 5.0, 6.0, 90.0]","['fruit', 5.0, 6.0, 85.0]","['chicken', 5.0, 7.5, 95.0]","['chicken', 5.0, 7.5, 96.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 6.5, 90.0]","['turkey', 5.0, 5.0, 90.0]","['mashed potatoes', 5.0, 6.0, 90.0]","['chicken', 5.0, 7.0, 90.0]","['chicken', 5.0, 8.0, 90.0]","['soup', 5.0, 7.5, 120.0]","['soup', 5.0, 7.5, 120.0]","['chicken', 5.0, 7.5, 105.0]","['chicken', 5.0, 7.5, 110.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['mashed potatoes', 8.0, 7.5, 90.0]","['mashed potatoes', 5.0, 7.0, 95.0]","['chicken', 4.0, 7.5, 90.0]","['chicken', 3.5, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['chicken', 7.0, 7.5, 90.0]","['chicken', 6.0, 7.2, 93.0]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['meatballs', 8.5, 7.5, 90.0]","['meatballs', 10.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['corn', 5.0, 6.5, 90.0]","['corn', 5.0, 6.0, 90.0]","['soup', 3.0, 6.0, 95.0]","['chicken', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.0, 90.0]","['oatmeal', 5.0, 5.0, 90.0]","['oatmeal', 5.0, 5.5, 85.0]","['mashed potatoes', 5.0, 7.5, 90.0]","['mashed potatoes', 5.0, 7.5, 97.0]","['rice', 5.0, 7.5, 90.0]","['beef', 5.0, 7.0, 90.0]","['carrots', 5.0, 5.0, 90.0]","['carrots', 5.0, 6.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 5.0, 8.5, 90.0]","['potatoes', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.5, 95.0]","['chicken', 5.0, 7.5, 110.0]","['chicken', 5.0, 7.5, 110.0]"
"['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['fish', 6.0, 7.5, 90.0]","['mashed potatoes', 5.0, 7.0, 95.0]","['broccoli', 5.0, 7.5, 90.0]","['broccoli', 4.8, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['broccoli', 7.0, 7.5, 90.0]","['rice', 2.0, 7.1, 91.0]","['mashed potato', 5.0, 7.5, 90.0]","['mashed potato', 5.0, 7.5, 90.0]","['peas', 8.5, 7.5, 90.0]","['peas', 10.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['rice', 5.0, 5.0, 90.0]","['rice', 3.0, 7.5, 95.0]","['soup', 5.0, 7.5, 97.0]","['beef', 5.0, 8.75, 90.0]","['beef', 5.0, 10.0, 90.0]","['yogurt', 5.0, 5.0, 90.0]","['yogurt', 5.0, 6.0, 85.0]","['carrots', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 96.0]","['soup', 3.0, 5.0, 90.0]","['soup', 5.0, 5.0, 90.0]","['mashed potatoes', 5.0, 5.0, 90.0]","['carrots', 5.0, 6.0, 90.0]","['chicken', 5.0, 7.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['soup', 5.0, 7.5, 120.0]","['salad', 5.0, 7.5, 85.0]","['chicken', 5.0, 7.5, 115.0]","['rice', 5.0, 7.5, 110.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['salad', 7.0, 7.5, 90.0]","['salad', 2.5, 7.0, 95.0]","['chicken', 4.0, 7.5, 90.0]","['chicken', 3.5, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['soup', 5.0, 7.5, 95.0]","['chicken', 7.0, 7.5, 90.0]","['broccoli', 6.0, 7.0, 93.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['meatballs', 8.5, 7.5, 90.0]","['meatballs', 10.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['beans', 5.0, 7.0, 90.0]","['beans', 5.0, 6.5, 90.0]","['chicken', 3.0, 6.5, 95.0]","['rice', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.0, 90.0]","['fruit', 5.0, 5.0, 90.0]","['fruit', 5.0, 5.5, 85.0]","['chicken', 5.0, 7.5, 95.0]","['chicken', 5.0, 7.5, 96.5]","['soup', 3.0, 5.0, 90.0]","['rice', 5.0, 6.5, 90.0]","['carrots', 5.0, 5.0, 90.0]","['turkey', 5.0, 6.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 5.0, 8.5, 90.0]","['potatoes', 5.0, 7.5, 90.0]","['soup', 5.0, 7.5, 120.0]","['rice', 5.0, 7.5, 120.0]","['carrots', 5.0, 7.5, 110.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['mashed potatoes', 8.0, 7.5, 90.0]","['fish', 7.5, 7.0, 95.0]","['broccoli', 5.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['soup', 5.0, 7.5, 95.0]","['rice', 3.0, 7.5, 90.0]","['chicken', 6.0, 7.2, 93.0]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['peas', 8.5, 7.5, 90.0]","['peas', 10.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['corn', 5.0, 6.5, 90.0]","['corn', 5.0, 5.5, 90.0]","['soup', 3.0, 6.0, 95.0]","['chicken', 5.0, 7.5, 95.0]","['potatoes', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.0, 90.0]","['oatmeal', 5.0, 5.0, 90.0]","['oatmeal', 5.0, 5.75, 85.0]","['mashed potatoes', 5.0, 7.5, 95.0]","['mashed potatoes', 5.0, 7.5, 97.5]","['soup', 3.0, 5.0, 90.0]","['beef', 5.0, 7.0, 90.0]","['turkey', 5.0, 5.0, 90.0]","['turkey', 5.0, 6.0, 90.0]","['chicken', 5.0, 7.0, 90.0]","['chicken', 5.0, 7.75, 90.0]","['salad', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 120.0]","['rice', 5.0, 7.5, 110.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['salad', 4.0, 7.5, 90.0]","['mashed potatoes', 7.0, 7.0, 95.0]","['chicken', 4.0, 7.5, 90.0]","['chicken', 3.6, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['broccoli', 7.0, 7.5, 90.0]","['rice', 2.0, 7.1, 92.0]","['mashed potato', 5.0, 7.5, 90.0]","['mashed potato', 5.0, 7.5, 90.0]","['meatballs', 8.5, 7.5, 90.0]","['meatballs', 10.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['meatballs', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['rice', 5.0, 5.0, 90.0]","['chicken', 3.0, 6.5, 95.0]","['soup', 5.0, 7.5, 97.0]","['beef', 5.0, 8.75, 90.0]","['beef', 5.0, 10.0, 90.0]","['yogurt', 5.0, 5.0, 90.0]","['yogurt', 5.0, 5.75, 85.0]","['carrots', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 96.5]","['rice', 3.0, 7.5, 90.0]","['beef', 5.0, 7.0, 90.0]","['mashed potatoes', 5.0, 5.0, 90.0]","['turkey', 5.0, 6.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 5.0, 8.5, 90.0]","['soup', 5.0, 7.5, 120.0]","['salad', 5.0, 7.5, 85.0]","['rice', 5.0, 7.5, 120.0]","['carrots', 5.0, 7.5, 110.0]"
"['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['mashed potatoes', 8.0, 7.5, 90.0]","['salad', 5.0, 7.0, 95.0]","['chicken', 4.0, 7.5, 90.0]","['broccoli', 5.1, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['chicken', 7.0, 7.5, 90.0]","['chicken', 6.0, 7.2, 93.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 8.5, 7.5, 90.0]","['peas', 10.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['green beans', 5.0, 7.5, 90.0]","['beans', 5.0, 6.5, 90.0]","['beans', 5.0, 6.5, 90.0]","['soup', 3.0, 6.0, 95.0]","['rice', 5.0, 7.5, 95.0]","['potatoes', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.0, 90.0]","['fruit', 5.0, 5.0, 90.0]","['fruit', 5.0, 5.5, 85.0]","['chicken', 5.0, 7.5, 95.0]","['chicken', 5.0, 7.5, 96.5]","['rice', 3.0, 7.5, 90.0]","['soup', 5.0, 5.0, 90.0]","['carrots', 5.0, 5.0, 90.0]","['carrots', 5.0, 6.0, 90.0]","['chicken', 5.0, 7.0, 90.0]","['chicken', 5.0, 7.75, 90.0]","['potatoes', 5.0, 7.5, 90.0]","['soup', 5.0, 7.5, 120.0]","['rice', 5.0, 7.5, 120.0]","['rice', 5.0, 7.5, 110.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['fish', 7.0, 7.5, 90.0]","['fish', 6.5, 7.0, 95.0]","['broccoli', 5.0, 7.5, 90.0]","['mashed potatoes', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['soup', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['broccoli', 7.0, 7.5, 90.0]","['broccoli', 6.0, 7.1, 92.5]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['peas', 8.5, 7.5, 90.0]","['peas', 10.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['corn', 5.0, 5.5, 90.0]","['chicken', 3.0, 6.5, 95.0]","['chicken', 5.0, 7.5, 96.0]","['beef', 5.0, 8.75, 90.0]","['carrots', 5.0, 7.0, 90.0]","['oatmeal', 5.0, 5.0, 90.0]","['oatmeal', 5.0, 5.5, 85.0]","['mashed potatoes', 5.0, 7.5, 95.0]","['mashed potatoes', 5.0, 7.5, 98.0]","['beef', 5.0, 7.5, 90.0]","['rice', 5.0, 6.5, 90.0]","['mashed potatoes', 5.0, 5.0, 90.0]","['mashed potatoes', 5.0, 6.0, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['broccoli', 5.0, 7.75, 90.0]","['salad', 5.0, 7.5, 95.0]","['salad', 5.0, 7.5, 85.0]","['rice', 5.0, 7.5, 120.0]","['carrots', 5.0, 7.5, 110.0]"
"['rice', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['salad', 4.0, 7.5, 90.0]","['mashed potatoes', 7.0, 7.0, 95.0]","['broccoli', 5.0, 7.5, 90.0]","['mashed potatoes', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['soup', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['chicken', 7.0, 7.5, 90.0]","['rice', 2.0, 7.1, 92.0]","['mashed potato', 5.0, 7.5, 90.0]","['mashed potato', 5.0, 7.5, 90.0]","['peas', 8.5, 7.5, 90.0]","['meatballs', 10.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.5, 90.0]","['potatoes', 5.0, 7.5, 90.0]","['beans', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['rice', 3.0, 7.5, 95.0]","['soup', 5.0, 7.5, 98.0]","['carrots', 5.0, 7.5, 90.0]","['beef', 5.0, 10.0, 90.0]","['yogurt', 5.0, 5.0, 90.0]","['yogurt', 5.0, 5.75, 85.0]","['carrots', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 96.5]","['beef', 5.0, 7.5, 90.0]","['beef', 5.0, 7.0, 90.0]","['turkey', 5.0, 5.0, 90.0]","['carrots', 5.0, 6.0, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['broccoli', 5.0, 7.75, 90.0]","['soup', 5.0, 7.5, 120.0]","['potatoes', 5.0, 7.5, 95.0]","['carrots', 5.0, 7.5, 120.0]","['rice', 5.0, 7.5, 110.0]"
