0 - Old,0 - New,1 - Old,1 - New,2 - Old,2 - New,3 - Old,3 - New,4 - Old,4 - New,5 - Old,5 - New,6 - Old,6 - New,7 - Old,7 - New,8 - Old,8 - New,9 - Old,9 - New,10 - Old,10 - New,11 - Old,11 - New,12 - Old,12 - New,13 - Old,13 - New,14 - Old,14 - New,15 - Old,15 - New,16 - Old,16 - New,17 - Old,17 - New,18 - Old,18 - New,19 - Old,19 - New
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['chicken', 10.0, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]","['chicken', 3.5, 7.5, 85.0]","['chicken', 1.0, 7.5, 80.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 95.0]","['beef', 5.0, 7.5, 100.0]","['carrots', 5.0, 8.5, 90.0]","['carrots', 5.0, 10.0, 90.0]","['chicken', 3.0, 7.5, 95.0]","['rice', 1.0, 5.0, 95.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 1.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 5.0, 100.0]","['chicken', 7.0, 7.5, 90.0]","['chicken', 8.0, 8.5, 100.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 95.0]","['cabbage', 1.0, 7.5, 90.0]","['cabbage', 1.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.0, 90.0]","['rice', 5.0, 5.0, 90.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['rice', 10.0, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 95.0]","['peas', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['spinach', 5.0, 10.0, 90.0]","['spinach', 5.0, 10.0, 90.0]","['chicken', 3.5, 7.5, 85.0]","['chicken', 1.0, 7.5, 80.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 95.0]","['beef', 5.0, 7.5, 100.0]","['carrots', 5.0, 8.5, 90.0]","['carrots', 5.0, 10.0, 90.0]","['chicken', 3.0, 7.5, 95.0]","['chicken', 1.0, 5.0, 95.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 10.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 1.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 5.0, 100.0]","['chicken', 7.0, 7.5, 90.0]","['chicken', 8.0, 8.5, 100.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 95.0]","['cabbage', 1.0, 7.5, 90.0]","['cabbage', 1.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.0, 90.0]","['chicken', 5.0, 5.0, 90.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['chicken', 10.0, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['broccoli', 5.0, 10.0, 90.0]","['broccoli', 5.0, 10.0, 90.0]","['chicken', 3.5, 7.5, 85.0]","['chicken', 1.0, 7.5, 80.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 100.0]","['carrots', 5.0, 8.5, 90.0]","['carrots', 5.0, 10.0, 90.0]","['rice', 3.0, 7.5, 95.0]","['rice', 1.0, 5.0, 95.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 10.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 1.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 5.0, 100.0]","['chicken', 7.0, 7.5, 90.0]","['chicken', 8.0, 8.5, 100.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 95.0]","['cabbage', 1.0, 7.5, 90.0]","['cabbage', 1.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 5.0, 90.0]"
"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['rice', 10.0, 10.0, 90.0]","['beef', 8.0, 7.5, 95.0]","['beef', 8.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['spinach', 5.0, 10.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['chicken', 3.5, 7.5, 85.0]","['chicken', 1.0, 7.5, 80.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 95.0]","['rice', 5.0, 7.5, 100.0]","['carrots', 5.0, 8.5, 90.0]","['carrots', 5.0, 10.0, 90.0]","['chicken', 3.0, 7.5, 95.0]","['chicken', 1.0, 5.0, 95.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 10.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 1.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 5.0, 100.0]","['chicken', 7.0, 7.5, 90.0]","['chicken', 8.0, 8.5, 100.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 95.0]","['cabbage', 1.0, 7.5, 90.0]","['cabbage', 1.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['chicken', 10.0, 10.0, 90.0]",I only want meat. Tilt the spoon slightly when feeding me. Feed me with larger bites,,"['peas', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 10.0, 90.0]","['rice', 4.5, 7.5, 85.0]","['rice', 1.0, 7.5, 80.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 100.0]","['chicken', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]","['rice', 3.0, 7.5, 95.0]","['rice', 1.0, 5.0, 95.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 10.0, 7.5, 90.0]",,"['chicken', 5.0, 7.5, 90.0]","['chicken', 1.0, 10.0, 90.0]","['chicken', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 1.0, 5.0, 100.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 8.5, 100.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 95.0]",I only want vegetables. Feed me in small bites..,,"['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['chicken', 8.0, 10.0, 90.0]","['rice', 10.0, 10.0, 90.0]",,,"['peas', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['spinach', 5.0, 10.0, 90.0]","['broccoli', 5.0, 10.0, 90.0]","['rice', 4.5, 7.5, 85.0]","['rice', 1.0, 7.5, 80.0]","['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 95.0]","['rice', 5.0, 7.5, 100.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]","['chicken', 3.0, 7.5, 95.0]","['chicken', 1.0, 5.0, 95.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 5.0, 7.5, 90.0]",,"['carrots', 5.0, 7.5, 90.0]","['carrots', 1.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['beef', 1.0, 5.0, 100.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 8.5, 100.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 95.0]",,,"['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['peas', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['chicken', 10.0, 10.0, 90.0]",,,"['spinach', 5.0, 7.5, 90.0]","['spinach', 1.0, 7.5, 90.0]","['broccoli', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 4.5, 7.5, 85.0]","['rice', 1.0, 7.5, 80.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 95.0]","['beef', 5.0, 7.5, 100.0]","['chicken', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]","['rice', 3.0, 7.5, 95.0]","['rice', 1.0, 5.0, 95.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 10.0, 7.5, 90.0]",,"['rice', 5.0, 7.5, 90.0]","['rice', 1.0, 10.0, 90.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 1.0, 5.0, 100.0]","['rice', 5.0, 7.5, 90.0]","['peas', 5.0, 8.5, 100.0]","['chicken', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 95.0]",,,"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]"
"['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 8.0, 10.0, 90.0]","['rice', 10.0, 10.0, 90.0]",,,"['peas', 5.0, 7.5, 90.0]","['peas', 1.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 10.0, 90.0]","['rice', 4.5, 7.5, 85.0]","['rice', 1.0, 7.5, 80.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 95.0]","['spinach', 5.0, 7.5, 100.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 3.0, 7.5, 95.0]","['chicken', 1.0, 5.0, 95.0]","['spinach', 5.0, 7.5, 90.0]","['spinach', 5.0, 5.0, 90.0]","['peas', 10.0, 7.5, 90.0]",,"['rice', 5.0, 7.5, 90.0]","['chicken', 1.0, 10.0, 90.0]","['peas', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['beef', 1.0, 5.0, 100.0]","['peas', 5.0, 7.5, 90.0]","['peas', 5.0, 8.5, 100.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 90.0]",,,"['carrots', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 5.0, 90.0]"
"['carrots', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['peas', 8.0, 10.0, 90.0]","['peas', 10.0, 10.0, 90.0]",,,"['beef', 5.0, 7.5, 90.0]","['beef', 1.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]","['rice', 5.0, 10.0, 90.0]","['peas', 3.5, 7.5, 85.0]","['peas', 1.0, 7.5, 80.0]","['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 95.0]","['rice', 5.0, 7.5, 100.0]","['rice', 5.0, 8.5, 90.0]","['chicken', 5.0, 10.0, 90.0]",Avoid the vegetables and give me only rice and chicken. Keep the bites small and tilt the spoon slightly.,,"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['corn', 10.0, 7.5, 90.0]",,"['chicken', 5.0, 7.5, 90.0]","['carrots', 1.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['rice', 1.0, 5.0, 100.0]","['peas', 5.0, 7.5, 90.0]","['rice', 5.0, 8.5, 100.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 95.0]",,,"['chicken', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.0, 90.0]","['peas', 5.0, 5.0, 90.0]"
"['carrots', 5.0, 7.5, 90.0]","['carrots', 5.0, 7.5, 90.0]","['peas', 8.0, 10.0, 90.0]","['peas', 10.0, 10.0, 90.0]",,,"['beef', 5.0, 7.5, 90.0]","['beef', 1.0, 7.5, 90.0]","['spinach', 5.0, 10.0, 90.0]","['spinach', 5.0, 10.0, 90.0]","['peas', 3.5, 7.5, 90.0]","['peas', 1.0, 7.5, 80.0]","['chicken', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['spinach', 5.0, 7.5, 100.0]","['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 10.0, 90.0]",,,"['rice', 5.0, 7.5, 90.0]","['rice', 5.0, 5.0, 90.0]","['corn', 10.0, 7.5, 90.0]",,"['chicken', 5.0, 7.5, 90.0]","['rice', 1.0, 10.0, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 90.0]","['beef', 5.0, 7.5, 90.0]","['beef', 1.0, 5.0, 100.0]","['rice', 5.0, 7.5, 90.0]","['peas', 5.0, 8.5, 100.0]","['spinach', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.5, 95.0]",,,"['carrots', 5.0, 7.5, 90.0]","['rice', 5.0, 7.5, 90.0]","['chicken', 5.0, 7.0, 90.0]","['rice', 5.0, 5.0, 90.0]"
